Data_Type,Dataset,Imbalance,Pos_Ratio,Algorithm,Method,F1,Accuracy
Non-Separable,SineWave,50-50,0.5,Perceptron,Online,0.7904616945712836,0.7935
Non-Separable,SineWave,50-50,0.5,Perceptron,Kernel,0.9233850776164246,0.9235
Non-Separable,SineWave,50-50,0.5,AROW,Online,0.8552829243865798,0.8555
Non-Separable,SineWave,50-50,0.5,AROW,Kernel,0.9322033898305084,0.936
Non-Separable,SineWave,50-50,0.5,OGC,Online,0.8267875125881168,0.828
Non-Separable,SineWave,50-50,0.5,OGC,Kernel,0.9234617308654327,0.9235
Non-Separable,SineWave,50-50,0.5,SCW,Online,0.8561438561438561,0.856
Non-Separable,SineWave,50-50,0.5,SCW,Kernel,0.842469705712637,0.8635
Non-Separable,SineWave,50-50,0.5,RDA,Online,0.8257804632426989,0.827
Non-Separable,SineWave,50-50,0.5,RDA,Kernel,0.35998359983599837,0.2195
Non-Separable,SineWave,50-50,0.5,AdaRDA,Online,0.6995614035087719,0.589
Non-Separable,SineWave,50-50,0.5,AdaRDA,Kernel,0.35931091058244463,0.219
Non-Separable,SineWave,70-30,0.7,PA,Online,0.7730441518202944,0.707
Non-Separable,SineWave,70-30,0.7,PA,Kernel,0.940293171254916,0.9165
Non-Separable,SineWave,70-30,0.7,Perceptron,Online,0.8764792899408284,0.833
Non-Separable,SineWave,70-30,0.7,Perceptron,Kernel,0.940293171254916,0.9165
Non-Separable,SineWave,70-30,0.7,AROW,Online,0.8839119074281448,0.8445
Non-Separable,SineWave,70-30,0.7,AROW,Kernel,0.9460247994164843,0.926
Non-Separable,SineWave,70-30,0.7,OGC,Online,0.9069264069264069,0.871
Non-Separable,SineWave,70-30,0.7,OGC,Kernel,0.9385275196568977,0.914
Non-Separable,SineWave,70-30,0.7,SCW,Online,0.8843436221643733,0.8445
Non-Separable,SineWave,70-30,0.7,SCW,Kernel,0.9425373134328359,0.923
Non-Separable,SineWave,70-30,0.7,RDA,Online,0.8828096118299446,0.8415
Non-Separable,SineWave,70-30,0.7,RDA,Kernel,0.7328859060402685,0.602
Non-Separable,SineWave,70-30,0.7,AdaRDA,Online,0.8352059925093633,0.736
Non-Separable,SineWave,70-30,0.7,AdaRDA,Kernel,0.8314779270633398,0.7805
Non-Separable,SineWave,90-10,0.9,PA,Online,0.7355623100303952,0.6085
Non-Separable,SineWave,90-10,0.9,PA,Kernel,0.9755826859045506,0.956
Non-Separable,SineWave,90-10,0.9,Perceptron,Online,0.892760588765395,0.8215
Non-Separable,SineWave,90-10,0.9,Perceptron,Kernel,0.9755826859045506,0.956
Non-Separable,SineWave,90-10,0.9,AROW,Online,0.914572864321608,0.8555
